gen_model,variable,delta_means,cliffs_delta,ci_lo,ci_hi,mannwhitney_u,p_value
gpt-5.4-nano,stakeholder_count,4.085457927923478,0.9928744112771376,0.9904051249124594,0.9949959094921311,3934098.5,0.0
gpt-5.4-nano,max_causal_hops,0.6135217246492988,0.5687548519375457,0.5423481921348272,0.593135773200968,3096851.5,1.0120127832046602e-275
gpt-5.4-nano,uncertainty_score,2.6817161896729242,0.9915900171345422,0.9874697359406205,0.9952783255005807,3931563.0,0.0
gpt-5.4-nano,n_frameworks,0.024499999999999994,0.01416625,0.00313595,0.025161968749999993,2028332.5,0.012174239199738094
gpt-5.4-nano,output_len,8030.1,1.0,1.0,1.0,4000000.0,0.0
gpt-4o,stakeholder_count,1.7324136062806892,0.8517671488360664,0.8375097682606051,0.8654092296971235,3677654.0,0.0
gpt-4o,max_causal_hops,-0.047079491486507585,-0.04752611247396809,-0.06671074971903664,-0.02565731834056387,1891636.0,5.643955082361957e-06
gpt-4o,uncertainty_score,1.9307254091592043,0.9899321458350957,0.9850955288052914,0.9940853622614833,3952053.0,0.0
gpt-4o,n_frameworks,-0.026499999999999996,-0.014085,-0.0230772375,-0.0055910812500000046,1971830.0,0.0023978517850522
gpt-4o,output_len,3102.9214999999995,0.999833,0.9997024250000001,0.9999370062499999,3999666.0,0.0
